
==================================================
Loading embedding model: sentence-transformers/use-cmlm-multilingual...

Embedding Similarity Benchmark Results (Model: sentence-transformers/use-cmlm-multilingual):

| ZhiWen File   | Equivalent File   |   Cosine Similarity |
| sim_0415.zw   | sim_0415.json     |              0.7606 |
| sim_0689.zw   | sim_0689.json     |              0.8265 |
| sim_0619.zw   | sim_0619.json     |              0.7652 |
| sim_0936.zw   | sim_0936.json     |              0.8427 |
| sim_0469.zw   | sim_0469.json     |              0.8398 |
| sim_0597.zw   | sim_0597.json     |              0.807  |
| sim_0450.zw   | sim_0450.json     |              0.8039 |
| sim_0892.zw   | sim_0892.json     |              0.832  |
| sim_0326.zw   | sim_0326.json     |              0.7618 |
| sim_0779.zw   | sim_0779.json     |              0.8501 |
| sim_0396.zw   | sim_0396.json     |              0.8542 |
| sim_0111.zw   | sim_0111.json     |              0.8399 |
| sim_0667.zw   | sim_0667.json     |              0.7964 |
| sim_0671.zw   | sim_0671.json     |              0.7705 |
| sim_0695.zw   | sim_0695.json     |              0.7572 |
| sim_0657.zw   | sim_0657.json     |              0.8132 |
| sim_0735.zw   | sim_0735.json     |              0.7799 |
| sim_0419.zw   | sim_0419.json     |              0.8508 |
| sim_0167.zw   | sim_0167.json     |              0.8211 |
| sim_0383.zw   | sim_0383.json     |              0.73   |
| sim_0582.zw   | sim_0582.json     |              0.7677 |
| sim_0125.zw   | sim_0125.json     |              0.8049 |
| sim_0580.zw   | sim_0580.json     |              0.7653 |
| sim_0988.zw   | sim_0988.json     |              0.7737 |
| sim_0464.zw   | sim_0464.json     |              0.8233 |
| sim_0088.zw   | sim_0088.json     |              0.86   |
| sim_0435.zw   | sim_0435.json     |              0.7616 |
| sim_0093.zw   | sim_0093.json     |              0.7663 |
| sim_0986.zw   | sim_0986.json     |              0.8189 |
| sim_0397.zw   | sim_0397.json     |              0.8304 |
| sim_0503.zw   | sim_0503.json     |              0.8579 |
| sim_0857.zw   | sim_0857.json     |              0.761  |
| sim_0041.zw   | sim_0041.json     |              0.8027 |
| sim_0908.zw   | sim_0908.json     |              0.8405 |
